condition,n_nodes,seed,k_ties,n_qubits_whole_graph,total_cx,total_depth,n_leaves,max_leaf_cx,all_leaves_met_threshold,max_depth_reached,unsafe_rate,mean_feasible_mass
short_log,10,0,3,12,132,274,1,132,True,0,0.0,1.0
short_log,10,1,3,12,16,46,3,8,True,1,0.0,1.0
short_log,10,2,3,12,132,271,1,132,True,0,0.0,1.0
short_log,30,0,5,34,28,69,9,12,True,1,0.0,1.0
short_log,30,1,5,34,140,306,9,124,True,1,0.0,1.0
short_log,30,2,5,34,32,92,5,8,True,1,0.0,1.0
short_log,60,0,6,65,108,228,9,92,True,1,0.0,1.0
short_log,60,1,6,65,148,328,16,124,True,1,0.0,1.0
short_log,60,2,6,65,40,104,16,8,True,1,0.0,1.0
short_log,100,0,7,106,44,115,26,12,True,1,0.0,1.0
short_log,100,1,7,106,160,377,26,124,True,1,0.0,1.0
short_log,100,2,7,106,52,104,13,16,True,1,0.0,1.0
short_log,150,0,7,156,124,301,39,84,True,1,0.0,1.0
short_log,150,1,7,156,44,104,39,12,True,1,0.0,1.0
short_log,150,2,7,156,52,126,20,16,True,1,0.0,1.0
long_log,10,0,3,12,16,46,3,8,True,1,0.0,1.0
long_log,10,1,3,12,12,34,3,12,True,1,0.0,1.0
long_log,10,2,3,12,16,46,3,8,True,1,0.0,1.0
long_log,30,0,5,34,24,68,9,16,True,1,0.0,1.0
long_log,30,1,5,34,28,79,9,20,True,1,0.0,1.0
long_log,30,2,5,34,32,90,9,24,True,1,0.0,1.0
long_log,60,0,6,65,44,125,11,16,True,2,0.0,1.0
long_log,60,1,6,65,28,80,11,16,True,2,0.0,1.0
long_log,60,2,6,65,348,667,24,328,True,2,0.0,1.0
long_log,100,0,7,106,164,375,16,124,True,2,0.0,1.0
long_log,100,1,7,106,40,90,13,24,True,1,0.0,1.0
long_log,100,2,7,106,24,67,38,24,True,2,0.0,1.0
long_log,150,0,7,156,368,713,22,352,True,2,0.0,1.0
long_log,150,1,7,156,344,649,27,324,True,2,0.0,1.0
long_log,150,2,7,156,300,592,23,280,True,2,0.0,1.0
