network,method,seed,n_terms,max_witness_size,dropped_candidates,fully_connected,leak_free_verified,cx_count,depth,n_zones,assembly_n_nodes,unsafe_rate,mean_feasible_mass,n_leaves,max_leaf_cx,met_threshold
CIGRE_MV,exact_whole_graph,,16,4,37,True,True,12220,24245,,,0.0,1.0,,,
CIGRE_MV,decomposed,0,10,,0,,,3668,7101,2,2,0.0303,0.9995,,,
CIGRE_MV,decomposed,1,10,,0,,,8134,16216,2,2,0.0909,0.9986,,,
CIGRE_MV,decomposed,2,10,,0,,,9178,18490,2,2,0.2727,0.9965,,,
CIGRE_MV,decomposed,3,10,,0,,,7040,14100,2,2,0.303,0.9903,,,
CIGRE_MV,decomposed,4,10,,0,,,5834,11570,2,2,0.2727,0.9898,,,
CIGRE_MV,cost_capped,0,,,0,,,64,147,,,0.0,1.0,1,64,True
CIGRE_MV,cost_capped,1,,,0,,,64,147,,,0.0,1.0,1,64,True
CIGRE_MV,cost_capped,2,,,0,,,64,147,,,0.0,1.0,1,64,True
CIGRE_MV,cost_capped,3,,,0,,,64,147,,,0.0,1.0,1,64,True
CIGRE_MV,cost_capped,4,,,0,,,64,147,,,0.0,1.0,1,64,True
IEEE33,decomposed,0,6,,0,,,132,272,4,4,0.0,1.0,,,
IEEE33,decomposed,1,6,,0,,,132,272,4,4,0.0,1.0,,,
IEEE33,decomposed,2,6,,0,,,132,272,4,4,0.0,1.0,,,
IEEE33,decomposed,3,6,,0,,,132,272,4,4,0.0,1.0,,,
IEEE33,decomposed,4,6,,0,,,132,272,4,4,0.0,1.0,,,
IEEE33,cost_capped,0,,,0,,,132,272,,,0.0,1.0,5,132,True
IEEE33,cost_capped,1,,,0,,,132,272,,,0.0,1.0,5,132,True
IEEE33,cost_capped,2,,,0,,,132,272,,,0.0,1.0,5,132,True
IEEE33,cost_capped,3,,,0,,,132,272,,,0.0,1.0,5,132,True
IEEE33,cost_capped,4,,,0,,,132,272,,,0.0,1.0,5,132,True
